第 39 轮 · 真背景落盘  2026-09-24 01:35:01   
==============================================================================
判据：房间自带 bg_sprite / asset_sprites 且宽高均 ≥ (300, 200)
  ch2.hometown.torielclass                       ch2       EXISTS         bg_torielclass_ch2             320x240->[320, 240]
  ch2.hometown.alphysclass                       ch2       EXISTS         bg_alphysclass                 320x240->[320, 240]
  ch2.light_world.lw_computer_lab                ch2       EXISTS         bg_lw_computer_lab             320x240->[320, 240]
  ch2.light_world.lw_library_upstairs            ch2       EXISTS         bg_lw_library_upstairs         320x240->[320, 240]
  ch2.light_world.lw_police                      ch2       EXISTS         bg_lw_police_house_base        320x240->[320, 240]
  ch2.light_world.lw_conbini                     ch2       EXISTS         bg_lw_sans_conbini             460x240->[460, 240]
  ch2.light_world.lw_icee_pizza                  ch2       EXISTS         bg_lw_ice_e_pizza              305x239->[305, 239]
  ch2.ralsei_room.dw_ralsei_castle_front         ch2       EXISTS         bg_darkcastle_front            660x480->[660, 480]
  ch3.home.krishallway                           ch3       EXISTS         bg_myhallway                   538x240->[538, 240]
  ch3.home.torhouse                              ch3       EXISTS         bg_torhouse_bg                 707x240->[707, 240]
  ch3.home.torbathroom                           ch3       EXISTS         spr_bg_torbathroom             320x240->[320, 240]
  ch3.hometown.beach                             ch3       EXISTS         bg_beach                       600x240->[600, 240]
  ch3.hometown.hospital_lobby                    ch3       EXISTS         bg_hospital_lobby              320x240->[320, 240]
  ch3.hometown.hospital_hallway                  ch3       EXISTS         bg_hospital_lobby2             320x240->[320, 240]
  ch3.hometown.hospital_rudy                     ch3       EXISTS         bg_hospital_rudyroom_ch2       320x240->[320, 240]
  ch3.hometown.hospital_room2                    ch3       EXISTS         bg_hospital_room2_ch2          320x240->[320, 240]
  ch3.hometown.diner                             ch3       EXISTS         bg_diner                       320x240->[320, 240]
  ch3.hometown.townhall                          ch3       EXISTS         bg_townhall                    320x240->[320, 240]
  ch3.hometown.flowershop_1f                     ch3       EXISTS         bg_flowershop_f1               320x240->[320, 240]
  ch3.hometown.flowershop_2f                     ch3       EXISTS         bg_flowershop_f2               320x240->[320, 240]
  ch3.hometown.library                           ch3       EXISTS         bg_library                     320x240->[320, 240]
  ch3.hometown.alphysalley                       ch3       EXISTS         bg_alphysalley                 320x240->[320, 240]
  ch3.hometown.torielclass                       ch3       EXISTS         bg_torielclass_ch2             320x240->[320, 240]
  ch3.hometown.alphysclass                       ch3       EXISTS         bg_alphysclass                 320x240->[320, 240]
  ch3.kris_room.krisroom                         ch3       EXISTS         bg_myroom                      320x240->[320, 240]
  ch3.light_world.lw_computer_lab                ch3       EXISTS         bg_lw_computer_lab             320x240->[320, 240]
  ch3.light_world.lw_library_upstairs            ch3       EXISTS         bg_lw_library_upstairs         320x240->[320, 240]
  ch3.light_world.lw_police                      ch3       EXISTS         bg_lw_police_house_base        320x240->[320, 240]
  ch3.light_world.lw_conbini                     ch3       EXISTS         bg_lw_sans_conbini             460x240->[460, 240]
  ch3.light_world.lw_icee_pizza                  ch3       EXISTS         bg_lw_ice_e_pizza              305x239->[305, 239]
  ch3.my_castle_town.dw_castle_west_cliff        ch3       EXISTS         bg_darkwest_fixed              640x480->[640, 480]
  ch3.my_castle_town.dw_castle_restaurant        ch3       EXISTS         bg_dw_bakery_counter           640x480->[640, 480]
  ch3.my_castle_town.dw_castle_cafe              ch3       EXISTS         bg_dw_castle_cafe_in           640x480->[640, 480]
  ch3.my_castle_town.dw_castle_rooms_kris        ch3       EXISTS         bg_dw_kris_room                640x480->[640, 480]
  ch3.my_castle_town.dw_castle_rooms_susie       ch3       EXISTS         bg_dw_susie_room_1             640x480->[640, 480]
  ch3.ralsei_room.dw_ralsei_castle_front         ch3       EXISTS         bg_darkcastle_front            660x480->[660, 480]
  ch3.tv_backstage.shootout                      ch3       EXISTS         spr_desert_loop_foreground     320x240->[320, 240]
  ch3.tv_backstage.dw_console_room               ch3       EXISTS         bg_console_room                1000x520->[1000, 520]
