# 4B 模型真机实测（从 Ollama server.log 抽取，非外推）

源: `C:\Users\23002\AppData\Local\Ollama\server.log`
样本数: 219 次完整推理

| # | prompt_tok | prompt_ms | eval_tok | eval_ms | total_ms | tok/s | 12tok | 20tok | 40tok |
| 53 | 365 | 6613.4 | 218 | 27698.0 | 34311.4 | 7.83 | 1.53s | 2.55s | 5.11s |
| 54 | 338 | 7150.9 | 198 | 25126.6 | 32277.4 | 7.84 | 1.53s | 2.55s | 5.10s |
| 55 | 334 | 7600.1 | 221 | 28071.7 | 35671.8 | 7.84 | 1.53s | 2.55s | 5.10s |
| 56 | 262 | 5783.9 | 54 | 6752.5 | 12536.5 | 7.85 | 1.53s | 2.55s | 5.10s |
| 57 | 449 | 9533.6 | 97 | 12202.6 | 21736.2 | 7.87 | 1.52s | 2.54s | 5.08s |
| 58 | 176 | 4080.4 | 98 | 12242.1 | 16322.5 | 7.92 | 1.52s | 2.53s | 5.05s |
| 59 | 361 | 7682.1 | 132 | 16744.1 | 24426.3 | 7.82 | 1.53s | 2.56s | 5.12s |
| 60 | 10 | 465.4 | 90 | 11473.9 | 11939.3 | 7.76 | 1.55s | 2.58s | 5.15s |
| 61 | 420 | 8913.0 | 110 | 13833.2 | 22746.2 | 7.88 | 1.52s | 2.54s | 5.08s |
| 62 | 140 | 3223.5 | 104 | 13178.9 | 16402.4 | 7.82 | 1.53s | 2.56s | 5.12s |
| 63 | 16 | 666.9 | 81 | 9497.2 | 10164.1 | 8.42 | 1.43s | 2.38s | 4.75s |
| 64 | 9 | 347.4 | 157 | 18957.0 | 19304.4 | 8.23 | 1.46s | 2.43s | 4.86s |
| 65 | 15 | 602.5 | 136 | 16433.6 | 17036.1 | 8.21 | 1.46s | 2.44s | 4.87s |
| 66 | 10 | 408.0 | 154 | 18589.7 | 18997.8 | 8.23 | 1.46s | 2.43s | 4.86s |
| 67 | 14 | 560.0 | 112 | 13463.6 | 14023.6 | 8.24 | 1.46s | 2.43s | 4.85s |
| 68 | 9 | 366.2 | 64 | 7454.9 | 7821.1 | 8.45 | 1.42s | 2.37s | 4.73s |
| 69 | 12 | 475.2 | 167 | 20196.4 | 20671.5 | 8.22 | 1.46s | 2.43s | 4.87s |
| 70 | 15 | 611.1 | 139 | 16795.0 | 17406.1 | 8.22 | 1.46s | 2.43s | 4.87s |
| 71 | 14 | 561.4 | 69 | 8119.3 | 8680.7 | 8.38 | 1.43s | 2.39s | 4.77s |
| 72 | 10 | 411.0 | 73 | 8523.3 | 8934.4 | 8.45 | 1.42s | 2.37s | 4.73s |
| 73 | 13 | 522.0 | 79 | 9345.1 | 9867.1 | 8.35 | 1.44s | 2.40s | 4.79s |
| 74 | 10 | 407.5 | 40 | 4557.1 | 4964.6 | 8.56 | 1.40s | 2.34s | 4.67s |
| 75 | 10 | 427.7 | 73 | 8617.6 | 9045.4 | 8.35 | 1.44s | 2.40s | 4.79s |
| 79 | 2670 | 41192.6 | 178 | 22948.0 | 64140.6 | 7.71 | 1.56s | 2.59s | 5.19s |
| 80 | 365 | 6882.8 | 134 | 17141.8 | 24024.7 | 7.76 | 1.55s | 2.58s | 5.15s |
| 81 | 338 | 6488.0 | 147 | 18790.9 | 25278.9 | 7.77 | 1.54s | 2.57s | 5.15s |
| 82 | 334 | 7161.7 | 184 | 23587.9 | 30749.7 | 7.76 | 1.55s | 2.58s | 5.15s |
| 83 | 262 | 5866.7 | 54 | 6880.9 | 12747.6 | 7.70 | 1.56s | 2.60s | 5.19s |
| 84 | 449 | 9552.8 | 136 | 17832.7 | 27385.5 | 7.57 | 1.59s | 2.64s | 5.28s |
| 85 | 176 | 4071.3 | 98 | 12620.6 | 16691.9 | 7.69 | 1.56s | 2.60s | 5.20s |
| 86 | 361 | 7959.8 | 112 | 14141.2 | 22101.0 | 7.85 | 1.53s | 2.55s | 5.10s |
| 87 | 10 | 461.0 | 74 | 9478.2 | 9939.2 | 7.70 | 1.56s | 2.60s | 5.19s |
| 88 | 420 | 8883.8 | 94 | 12043.5 | 20927.4 | 7.72 | 1.55s | 2.59s | 5.18s |
| 89 | 140 | 3438.8 | 141 | 18090.3 | 21529.1 | 7.74 | 1.55s | 2.58s | 5.17s |
| 90 | 16 | 612.5 | 32 | 3808.8 | 4421.3 | 8.14 | 1.47s | 2.46s | 4.91s |
| 91 | 2320 | 35120.8 | 10 | 1091.0 | 36211.8 | 8.25 | 1.45s | 2.42s | 4.85s |
| 92 | 14 | 551.1 | 33 | 3967.4 | 4518.5 | 8.07 | 1.49s | 2.48s | 4.96s |
| 93 | 11 | 455.2 | 31 | 3722.3 | 4177.5 | 8.06 | 1.49s | 2.48s | 4.96s |
| 94 | 14 | 554.1 | 60 | 7545.4 | 8099.5 | 7.82 | 1.53s | 2.56s | 5.12s |
| 95 | 6 | 282.3 | 10 | 1122.4 | 1404.8 | 8.02 | 1.50s | 2.49s | 4.99s |
| 96 | 12 | 469.1 | 41 | 5008.5 | 5477.6 | 7.99 | 1.50s | 2.50s | 5.01s |
